	OTU100-unweighted_unifrac-PC1	OTU100-weighted_unifrac-PC1	OTU100-bray_curtis-PC1	OTU100-jaccard-PC1	OTU100-faith_pd-PC1	OTU100-observed_otus-PC1
udca.trial.10A8ZTLEH3BM6	0.13556987030065337	0.23905009729737137	0.2040354797758937	0.06398700339132526	12.751100839500001	96.0
udca.trial.10ST9BTCUZ72H	-0.12653510366527954	-0.10748562471912873	-0.24636621993336735	-0.06386013925145391	10.276551899500001	57.0
udca.trial.118TUJCE5J2UJ	-0.028642358398348774	-0.033657870226363476	-0.053543847148028414	0.021608403605892078	11.208405320499999	83.0
udca.trial.12MZ192XPKO1V	0.14949758987058834	0.03715799685212357	0.17167845964924797	0.04972307538131623	12.5043306895	87.0
udca.trial.13J07O50AOFLZ	-0.06467537201263984	0.3301353283268087	0.22093257683308776	-0.028449128816674087	9.9246076545	47.0
udca.trial.13P4HH23R2YXT	-0.15049593975281111	0.12092100273905308	-0.19082821882136486	-0.01125955356786013	10.5262149055	65.0
udca.trial.147XO4IC88HFR	-0.044034567115612405	0.11555108403020638	0.07363195042303342	-0.011722270219923153	12.4284124025	78.0
udca.trial.14L5NW46C6QHX	-0.12048448740964533	0.05224929175527886	-0.05470027349329728	-0.04844047354004503	11.958795617500002	95.0
udca.trial.14QGERT10D95E	-0.166793018482325	-0.17754423661752297	-0.24438771436011192	-0.12836380187455257	11.6944543725	77.0
udca.trial.158KF2HHZB2SM	0.17411942750174747	0.1066430749579563	0.19492948654387618	0.07817543439709905	14.0462482005	122.0
udca.trial.15JXWW66I5119	-0.10938506877551837	0.3187815659389141	0.1412387349476269	-0.05726805732484035	10.3288261555	76.0
udca.trial.15ZR3TE7B6DIC	0.051008797020627994	0.0497696854572446	0.007898873093735184	0.003628441366037173	12.695371285500002	86.0
udca.trial.1657Q4GSV4BQ4	-0.04008481095689309	0.10315415658260801	0.08721801493694487	-0.00870200425669918	10.8435377025	81.0
udca.trial.167CO2JI59DBY	0.11154768128214845	0.03324504020876002	-0.09298103365981783	-0.048960084378997765	15.0290764825	98.0
udca.trial.184O8XF8DWBCZ	-0.22278385758784675	-0.15487256693902346	-0.23306124598723194	-0.12651648792178538	9.5103458085	67.0
udca.trial.18952JW64AR6D	-0.19586989919207276	-0.4047507772052026	-0.17760342596087814	-0.0882370613076592	8.874382001499999	47.0
udca.trial.18AJLL41R17N6	0.11716268766934848	0.030030958409303112	0.15574947189416966	0.08233980075858961	12.9284486365	102.0
udca.trial.18P5NRF7EUMYF	-0.09023116479388865	-0.23863353522179248	-0.21610765799414305	-0.08229100770114972	12.9227786455	108.0
udca.trial.19D6JKPRCOGMI	0.03403263427987596	-0.36564661282310656	-0.257831080283768	0.0056302418848833335	12.338944570499999	85.0
udca.trial.19TZJ6JFZ9BHZ	0.08186848340078602	0.23719594666217447	0.28945514438484254	0.09075949845048842	12.738525360499999	99.0
udca.trial.19UN6ODXVPWM1	-0.22956009384663323	0.14626746729419618	-0.08000537398097422	-0.10840207100134265	9.2268641355	46.0
udca.trial.1A5EJV5E3UDHA	0.06911287331417512	0.1386352001196785	0.10505820845419267	0.01835073383729779	11.0331022895	73.0
udca.trial.1AG5X1WUBYUCJ	0.11755984495808251	0.11967998791340474	-0.024562859070653826	0.029488295288697994	14.3222087425	91.0
udca.trial.1AO4OSR3DHOHW	0.006263253282646487	0.18236343898705848	0.14964624585974673	0.06391257406583095	11.7619112495	89.0
udca.trial.1AP8B7AV8C3YO	0.1068233376783982	-0.3081791115740472	-0.06579247729195045	0.015283889196129542	14.956027091500001	113.0
udca.trial.1AQOD3G0GTO65	0.15607022968235496	0.29729918040025044	0.30225028687409655	0.054375243809776215	12.652656789500003	84.0
udca.trial.1ASRS6LG57M1B	0.21022641480455864	-0.12365511089774464	0.0050400518710859345	0.05942937184041617	15.311952831500001	117.0
udca.trial.1AW6I9FVMIQ4L	0.044535342639227996	0.021409838650652647	0.08200438046324464	0.04999374335554814	11.180884873499998	82.0
udca.trial.1B9G0VYZC82XF	0.047321330144828776	-0.046006712766627274	-0.12419278740269062	-0.03740784253648357	13.0068174875	111.0
udca.trial.1BE1LEW2I6WQ6	-0.08613537809802102	0.13568754093231927	0.13595712221971032	0.022399704437447276	9.4419669175	64.0
udca.trial.1BHGBHQHZI0TG	0.131533521784032	0.1565538037983991	-0.009221024348376308	-0.029400201104481962	14.7216521375	103.0
udca.trial.1BWT97F1DLBHG	-0.05540632204485672	0.35525186983976764	0.19966990164563414	0.08181609917721896	9.7487049495	64.0
udca.trial.1CIBZKXXTU97Y	0.08883059853124221	-0.2835313121051502	-0.10285324910811369	0.0050112370805036775	15.352327618499999	130.0
udca.trial.1CIQPXK5N17AD	0.05915570136052754	0.18870500831796289	0.15786944895512242	0.10690434929002705	11.5136319355	88.0
udca.trial.1D1GUV5UWOIAZ	-0.004503712465560553	0.18950151981151056	0.1236328843298813	0.04361357658978496	11.594755781500002	66.0
udca.trial.1D47XG5SHJ1A7	-0.02549341712229631	-0.20365428057783147	-0.2037707883976183	0.01151212997481225	11.760665586500002	100.0
udca.trial.1D70IW2ZO4O03	0.235397705409805	-0.031838260756578016	0.15788297424732886	0.10971603440935847	16.1928013515	134.0
udca.trial.1D82MFPHX7ZQ7	-0.078143524449186	-0.2890970382489492	-0.24852036271280087	-0.08476963760341376	12.5212783285	114.0
udca.trial.1DF0THUIBELW4	-0.056514976498505676	-0.20608177876253705	-0.06204433765739146	-0.03992645168217766	13.0031330495	96.0
udca.trial.1DHIYXM5SZHTP	0.1329209595456879	-0.08698154381991006	0.06382215725629133	0.12311351429036768	13.9350611345	112.0
udca.trial.1DOVM1J6JSULO	-0.18125742839764578	0.011864411208049305	-0.049678386704067476	-0.051990803609513116	8.864510513499997	52.0
udca.trial.1EAT2ROAT8QEL	0.07427813494689847	0.08710978523537775	0.15411114899184453	0.043024920539027726	12.8005069655	90.0
udca.trial.1F1JIB1IQ5ZB8	-0.27078368343735215	0.22556957462412097	-0.26528177397290015	-0.11817710727237203	7.789437664499999	41.0
udca.trial.1FW65OVPOJAEJ	-0.29482047621167135	-0.32891583093219157	-0.25442873138327576	-0.09666113066352137	8.1299137735	40.0
udca.trial.1GR58KBA0JQ8J	-0.004054149416720706	0.2093487119966733	0.17473125590890431	0.04044188165678417	10.8192004425	65.0
udca.trial.1HHVO3OHXGZ56	-0.145433107401669	0.06415834225196376	-0.0742715225935416	-0.05239552609087755	9.762256451499999	60.0
udca.trial.1I0KN1NJNEJN	-0.2550781205194458	-0.02293401418044987	-0.2680242570628873	-0.10527947481809147	9.507910620499999	67.0
udca.trial.1I8EPCQPCVOQU	-0.087777986365835	-0.07251570357824282	0.03358891707229164	-0.05212140688794362	11.272283348499998	81.0
udca.trial.1IDWUIQKIKQPA	-0.011995373214937561	0.013317578826725336	-0.005772853755943308	0.01189608644652434	11.4866191535	98.0
udca.trial.1IDYDDNU4BUFY	0.12366434844424547	0.047253274719647756	0.13894235757685036	0.08118532542792285	13.797601551499998	105.0
udca.trial.1JKGGZBT8JC30	0.04110401035430529	0.08540988368938544	0.05651342818863368	-0.039303158827429685	14.434700743499999	108.0
udca.trial.1K4BR6EJYS6B2	0.14122799054326216	-0.09670188858619605	0.03458820723988536	0.039098187100696936	16.285854805499998	153.0
udca.trial.1K7V85P4VNODP	0.12589108690599757	0.14725649334282445	0.192559693894958	0.002102550961148334	12.6111315925	79.0
udca.trial.1KAMAQP2GI7CX	0.03350620317915779	0.13713886133555916	0.23872903094033954	0.07672140492951986	10.809104028499998	86.0
udca.trial.1KD4G6GPY33AI	0.15180237059569823	0.007755133356778073	0.176226578907723	0.05238687668843015	14.2697986585	112.0
udca.trial.1KQ4D4BIQTS7	0.062252593997202586	0.005557866655519074	0.11673798600230037	0.054363551915447714	12.215163356500002	83.0
udca.trial.1L1SZHLRSDI2N	-0.0689081751324807	0.059659719839917844	0.036450590780835235	0.019314036498334686	10.2998304565	65.0
udca.trial.1LFBF9D5LCHX4	-0.18942575243090568	0.3129436660217176	0.18136186312809038	-0.03822231634732114	6.9592044275000005	34.0
udca.trial.1MFY67CBCF39Z	0.17862336292347444	-0.026595894130967784	0.025105289964179704	0.044645907237571655	15.053963353499999	107.0
udca.trial.1MM3YV6OEKQCH	-0.02846517578588602	0.033914900607697904	-0.003891706285911298	-0.01808363881247108	11.960100304500001	93.0
udca.trial.1MOKLG12AEIJE	0.14137313765154097	0.201138846655815	0.1452675325694472	0.0953139897454786	13.0180487075	85.0
udca.trial.1MRD6VY9H059A	-0.14138625493671286	-0.07755427030678455	-0.12511698509824912	-0.0770922967162663	10.7601824345	81.0
udca.trial.1MTVCBPWYL16V	-0.10797202348817032	-0.1507638435561529	-0.29996274278887297	-0.12894642986464847	10.7286969925	69.0
udca.trial.1N1VMXHFLUZ2W	0.05398473040249843	-0.05071192639385107	0.11035705298855564	0.04326748448078759	11.3243081585	72.0
udca.trial.1N7C98K15SXAO	0.13876863137717355	-0.02717787819621688	0.03356027844505362	0.01352260165581463	13.5346220355	106.0
udca.trial.1N89SVZ0BPPS	0.06448347761796748	0.32409913977400684	0.1957058287864959	0.10106502894007507	11.276824138499999	75.0
udca.trial.1O0NVXJFRT9M8	-0.08585495270732069	0.1092389226978439	0.020477240174902142	-0.0787108010445001	11.868371030499999	76.0
udca.trial.1OM6MB2C827CQ	0.0285701923310786	0.2683445766391903	0.13538646120821574	0.009387556137290792	10.8582361005	59.0
udca.trial.1OV90GGD4FGYV	-0.11156760939056612	-0.2537693674547623	-0.2611502139858965	-0.05392120871052092	12.0200406845	105.0
udca.trial.1OWP2CLICX16C	0.04111728226077649	0.032183770615156176	0.02878382366860633	-0.057512942425835954	12.9703498965	83.0
udca.trial.1PMTD91HZ4SPL	0.047924427281189105	-0.01659929318291061	-0.09338900827637901	0.0019893162655996053	12.1529013745	82.0
udca.trial.1QP0CBXXME7C7	-0.0869820431590071	0.35551002682478877	0.09673537752331159	-0.014148245330353701	9.9590256025	56.0
udca.trial.1QQUU9V37II5Q	0.05808361787291493	0.15657706333836277	0.20230345059217103	0.04325771660742609	13.112729150499996	103.0
udca.trial.1S85TX7S5LKEP	-0.006897872509592515	-0.1442384963558857	-0.21884152453350336	-0.027933875377920605	11.3583250545	86.0
udca.trial.1SDNZ37NBAMD5	0.16206839016140978	-0.12962815646039302	-0.013514925525148842	0.013656280429653802	12.5987617325	90.0
udca.trial.1TFKI5YJ9JA7G	0.014729559162660914	0.10770090495888993	0.12924546759516298	0.07721433269950335	11.5707336815	87.0
udca.trial.1UA75JSQ7WLAR	-0.11027070737918766	-0.32006649406041254	-0.2248167598187311	-0.057411015652295734	11.2537681085	83.0
